Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S17S2V01,S17S2V02,S17S2V03,S17S2V04,S17S2V05,S17S3V01,S17S3V02,S17S3V03,S17S4V01,S17S4V02,S17S4V03,S17S4V04,S17S5V01,S17S5V02,S17S5V03,S17S5V04,S17S5V05,S17S5V06
Date,,,,,,,,06.18.1931,07.06.1931,07.08.1931,07.16.1931,07.21.1931,03.02.1932,03.15.1932,05.03.1932,03.13.1933,03.14.1933,04.05.1933,05.16.1933,03.06.1934,04.11.1934,04.12.1934,04.12.1934,05.31.1934,06.30.1934
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,"Motion that the Report of the Special Committee be not now adopted, but amended",Motion that the Bill (An Act to amend to Act to incorporate The Army and The Navy Veterans in Canada) be read a second time,"Motion that the Senate procure for a Special Committee to enquire into and report upon the matters mentioned by Senator Belcourt at the sitting of the Senate on June 16th 1931, be not concurred with, but amended",Motion that the Bill (An Act to provide for the appointment of a Tariff Board) be read a third time six months hence,"Motion that a new Standing Rule be added, to guarantee the independence of Senators from conflicts of interest between their public duty and their private business",Motion that the Bill (An Act with respect to Hospital Sweepstakes) be read a second time,Motion that the Bill (An Act to amend the Criminal Code) be read a second time,"Motion that the fourth Report of the Special Committee appointed for the purpose of taking into consideration the report of a Special Committee of the House of Commons the last Session thereof to investigate the Beauharnois Power Project, in so far as the said Report relates to any Honourable Members of the Senate, be concurred in. ",Motion that the Bill (An Act with respect to Charity Sweepstakes) be read a second time six months hence,Motion that the Bill (An Act with respect to Charity Sweepstakes) be read a second time,Motion that the Bill (An Act with respect to Hospital Sweepstakes) be read a third time,Motion that the Bill (An Act to amend the Judges Act) be read a second time,Motion that the Bill (An Act with respect to Hospital Sweepstakes) be read a second time,Shall the decision of the Chairman be sustained (in committee),"Motion that the Bill (An Act with respect to Hospital Sweepstakes) be not now read a third time, but amended",Motion that the Bill (An Act with respect to Hospital Sweepstakes) be now read a third time,"Motion that the Report of the Standing Committee on Banking and Commerce be not now adopted, but be amended",Motion that the amendments made by the Standing Committee on Banking and Commerce to the Bill (An Act to incorporate the Bank of Canada) be themselvesamended to provide for printed copies in both official languages
"Turriff, John Gillanders",Liberal Party of Canada,Saskatchewan,"Borden, Robert Laird",1918.09.23 - 1930.11.10 ,1918.09.23 , 1930.11.10 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Lessard, Prosper-Edmond",Liberal Party of Canada,Alberta,"King, William Lyon Mackenzie",1925.09.05 - 1931.04.11 ,1925.09.05 , 1931.04.11 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Foster, George Green",Conservative (1867-1942),Quebec,"Borden, Robert Laird",1917.07.27 - 1931.05.01 ,1917.07.27 , 1931.05.01 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Farrell, Edward Matthew",Liberal Party of Canada,Nova Scotia,"Laurier, Wilfrid",1910.01.12 - 1931.08.06 ,1910.01.12 , 1931.08.06 ,(Death),1,2,9,9,1,99,99,99,99,99,99,99,99,99,99,99,99,99
"Crowe, Sanford Johnston",Unionist (Liberal),British Columbia,"Meighen, Arthur",1921.12.01 - 1931.08.23 ,1921.12.01 , 1931.08.23 ,(Death),1,2,2,2,2,99,99,99,99,99,99,99,99,99,99,99,99,99
"Curry, Nathaniel",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1931.10.23 ,1912.11.20 , 1931.10.23 ,(Death),9,9,9,9,2,99,99,99,99,99,99,99,99,99,99,99,99,99
"Foster, George Eulas",Conservative (1867-1942),Ontario,"Meighen, Arthur",1921.09.22 - 1931.12.30 ,1921.09.22 , 1931.12.30 ,(Death),9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99
"Legris, Joseph Hormisdas",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.02.10 - 1932.03.06 ,1903.02.10 , 1932.03.06 ,(Death),9,9,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99
"McDougald, Wilfrid Laurier",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1926.06.25 - 1932.05.03 ,1926.06.25 , 1932.05.03 ,(Resignation),9,9,9,1,9,9,9,99,99,99,99,99,99,99,99,99,99,99
"Girroir, Edward Lavin",Conservative (1867-1942),Nova Scotia,"Borden, Robert Laird",1912.11.20 - 1932.05.08 ,1912.11.20 , 1932.05.08 ,(Death),9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99
"Willoughby, Wellington Bartley",Conservative (1867-1942),Saskatchewan,"Borden, Robert Laird",1917.10.23 - 1932.08.01 ,1917.10.23 , 1932.08.01 ,(Death),1,2,2,2,2,2,1,9,99,99,99,99,99,99,99,99,99,99
"Belcourt, Napolí©on Antoine",Liberal Party of Canada,Ontario,"Laurier, Wilfrid",1907.11.22 - 1932.08.07 ,1907.11.22 , 1932.08.07 ,(Death),9,9,9,1,9,1,9,9,99,99,99,99,99,99,99,99,99,99
"Haydon, Andrew",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1924.03.10 - 1932.11.10 ,1924.03.10 , 1932.11.10 ,(Death),9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99
"Ross, James Hamilton",Liberal Party of Canada,Saskatchewan,"Laurier, Wilfrid",1904.09.30 - 1932.12.14 ,1904.09.30 , 1932.12.14 ,(Death),1,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99
"Todd, Irving Randall",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1918.03.07 - 1932.12.27 ,1918.03.07 , 1932.12.27 ,(Death),2,9,2,2,9,1,1,1,99,99,99,99,99,99,99,99,99,99
"Daniel, John Waterhouse",Conservative (1867-1942),New Brunswick,"Borden, Robert Laird",1912.03.18 - 1933.01.11 ,1912.03.18 , 1933.01.11 ,(Death),1,2,2,2,2,2,9,1,99,99,99,99,99,99,99,99,99,99
"Bureau, Jacques",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1925.09.05 - 1933.01.23 ,1925.09.05 , 1933.01.23 ,(Death),2,9,1,1,9,1,1,2,99,99,99,99,99,99,99,99,99,99
"Paradis, Philippe-Jacques",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1927.12.14 - 1933.06.20 ,1927.12.14 , 1933.06.20 ,(Death),9,9,9,9,9,9,1,2,9,9,9,9,99,99,99,99,99,99
"Robertson, Gideon Decker",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.01.20 - 1933.08.05 ,1917.01.20 , 1933.08.05 ,(Death),9,2,2,2,2,2,9,9,2,9,9,9,99,99,99,99,99,99
"Bí©ique, Frí©dí©ric Liguori",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1902.02.07 - 1933.09.12 ,1902.02.07 , 1933.09.12 ,(Death),2,9,1,9,1,9,1,9,1,1,9,9,99,99,99,99,99,99
"Poirier, Pascal",Liberal-Conservative,New Brunswick,"Macdonald, John Alexander",1885.03.09 - 1933.09.25 ,1885.03.09 , 1933.09.25 ,(Death),1,9,1,9,9,2,1,1,9,1,9,9,99,99,99,99,99,99
"Fisher, John Henry",Conservative (1867-1942),Ontario,"Borden, Robert Laird",1917.07.26 - 1933.12.01 ,1917.07.26 , 1933.12.01 ,(Death),9,9,9,2,2,9,9,1,1,2,2,9,99,99,99,99,99,99
"Tessier, Jules",Liberal Party of Canada,Quebec,"Laurier, Wilfrid",1903.03.12 - 1934.01.06 ,1903.03.12 , 1934.01.06 ,(Death),9,9,1,9,1,2,9,2,9,9,2,9,99,99,99,99,99,99
"Stanfield, John",Conservative (1867-1942),Nova Scotia,"Meighen, Arthur",1921.02.17 - 1934.01.22 ,1921.02.17 , 1934.01.22 ,(Death),2,9,2,9,9,9,9,9,2,1,1,9,99,99,99,99,99,99
"Forke, Robert",Liberal Progressive,Manitoba,"King, William Lyon Mackenzie",1929.12.30 - 1934.02.02 ,1929.12.30 , 1934.02.02 ,(Death),1,2,1,1,1,2,1,2,1,2,2,9,99,99,99,99,99,99
"Wilson, Lawrence Alexander",Liberal Party of Canada,Quebec,"King, William Lyon Mackenzie",1930.06.03 - 1934.03.03 ,1930.06.03 , 1934.03.03 ,(Death),9,9,9,9,9,9,9,9,9,9,1,9,99,99,99,99,99,99
"Rankin, James Palmer",Liberal Party of Canada,Ontario,"King, William Lyon Mackenzie",1925.09.09 - 1934.06.15 ,1925.09.09 , 1934.06.15 ,(Death),1,2,1,1,9,2,2,2,9,2,2,9,2,2,2,2,9,99
