Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S2S1V01,S2S1V02,S2S1V03,S2S1V04,S2S1V05
Date,,,,,,,,04.02.1873,04.18.1873,04.22.1873,04.30.1873,05.20.1873
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion for adjournment (p.87/393).,Motion to adopt certain Resolitions respecting the Pacific Railway (p. 121/393).,Third reading of the Bill for the relief of John Robert Martin (divorce) (p.132/393).,That a Committee be appointed to enquire into and report from time to time on all matters relative to the contract for the construction of the Canadian Pacific Railway (p. 196/393).,"Motion for the third reading of the Bill: An Act respecting Deck Loads, as amended (p.311/393)."
"Brown, George",Liberal Party of Canada,Ontario,"Mackenzie, Alexander",1873.12.16 - 1880.05.09 ,1873.12.16 , 1880.05.09 ,(Death),99,99,99,99,99
"Trudel, François-Xavier-Anselme",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.31 - 1890.01.17 ,1873.10.31 , 1890.01.17 ,(Death),99,99,99,99,99
"Montgomery, Donald",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1893.07.31 ,1873.10.18 , 1893.07.31 ,(Death),99,99,99,99,99
"Haythorne, Robert Poore",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1891.05.07 ,1873.10.18 , 1891.05.07 ,(Death),99,99,99,99,99
"Howlan, George William",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1880.12.27 ,1873.10.18 , 1880.12.27 ,(Resignation),99,99,99,99,99
"Haviland, Thomas Heath",Conservative (1867-1942),Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1879.07.01 ,1873.10.18 , 1879.07.01 ,(Resignation),99,99,99,99,99
"Bellerose, Joseph Hyacinthe",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.10.07 - 1899.08.13 ,1873.10.07 , 1899.08.13 ,(Death),99,99,99,99,99
"Alexander, George",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.05.30 - 1891.05.29 ,1873.05.30 , 1891.05.29 ,(Resignation),99,99,99,99,99
"Chinic, Eugène",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.04.10 - 1882.11.03 ,1873.04.10 , 1882.11.03 ,(Resignation),9,1,2,2,2
"Chauveau, Pierre-Joseph-Olivier",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1873.02.20 - 1874.01.08 ,1873.02.20 , 1874.01.08 ,(Resignation),2,1,2,2,2
"Vidal, Alexander",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.01.15 - 1906.11.18 ,1873.01.15 , 1906.11.18 ,(Death),2,1,1,2,2
"Muirhead, William",Liberal Party of Canada,New Brunswick,"Macdonald, John Alexander",1873.01.04 - 1884.12.29 ,1873.01.04 , 1884.12.29 ,(Death),1,1,1,2,9
"Cochrane, Matthew Henry",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1872.10.17 - 1903.08.12 ,1872.10.17 , 1903.08.12 ,(Death),9,1,1,2,2
"Kaulback, Henry Adolphus Newman",Conservative (1867-1942),Nova Scotia,"Macdonald, John Alexander",1872.03.27 - 1896.01.08 ,1872.03.27 , 1896.01.08 ,(Death),1,1,1,2,1
"Macdonald, William John",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1915.04.13 ,1871.12.13 , 1915.04.13 ,(Resignation),1,1,1,2,9
"Sutherland, John",Independent Conservative,Manitoba,"Macdonald, John Alexander",1871.12.13 - 1899.04.13 ,1871.12.13 , 1899.04.13 ,(Resignation),1,1,1,2,2
"Girard, Marc-Amable",Conservative (1867-1942),Manitoba,"Macdonald, John Alexander",1871.12.13 - 1892.09.12 ,1871.12.13 , 1892.09.12 ,(Death),1,1,2,2,2
"Cornwall, Clement Francis",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1881.07.01 ,1871.12.13 , 1881.07.01 ,(Resignation),9,9,9,9,9
"Carrall, Robert William Weir",Conservative (1867-1942),British Columbia,"Macdonald, John Alexander",1871.12.13 - 1879.09.19 ,1871.12.13 , 1879.09.19 ,(Death),1,1,9,2,1
"De Lery, Alexandre-Ren_ Chaussegros",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1871.12.13 - 1876.04.11 ,1871.12.13 , 1876.04.11 ,(Resignation),9,9,9,9,2
"Read, Robert",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.24 - 1896.06.29 ,1871.02.24 , 1896.06.29 ,(Death),9,1,1,2,1
"Panet, Louis",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1871.02.10 - 1874.03.26 ,1871.02.10 , 1874.03.26 ,(Resignation),9,1,2,9,2
"Churchill, Ezra",Liberal-Conservative,Nova Scotia,"Macdonald, John Alexander",1871.02.03 - 1874.05.08 ,1871.02.03 , 1874.05.08 ,(Death),1,9,9,9,9
"Smith, Frank",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1871.02.02 - 1900.01.01 ,1871.02.02 , 1900.01.01 ,(Resignation),9,1,9,2,9
