Name,PartyName,Province,Nominated,Term,Term.start,Term.end,Exit,S7S1V01,S7S1V02,S7S1V03,S7S1V04,S7S1V05,S7S1V06,S7S1V07,S7S1V08,S7S1V09,S7S1V10,S7S2V01,S7S2V02,S7S2V03,S7S2V04,S7S2V05,S7S2V06,S7S2V07,S7S3V01,S7S3V02,S7S3V03,S7S3V04,S7S4V01,S7S4V02,S7S4V03,S7S4V04,S7S4V05,S7S4V06,S7S4V07,S7S4V08,S7S4V09,S7S4V10,S7S4V11,S7S4V12,S7S5V01,S7S5V02,S7S5V03,S7S5V04,S7S5V05,S7S5V06,S7S5V07,S7S5V08,S7S5V09
Date,,,,,,,,05.06.1891,06.01.1891,07.06.1891,08.05.1891,08.07.1891,08.10.1891,08.11.1891,08.25.1891,09.03.1891,09.14.1891,04.27.1892,04.29.1892,06.01.1892,06.09.1892,06.22.1892,06.28.1892,07.05.1892,03.20.1893,03.24.1893,03.28.1893,03.30.1893,06.07.1894,06.07.1894,06.13.1894,06.15.1894,06.20.1894,06.20.1894,06.21.1894,06.21.1894,06.22.1894,07.04.1894,07.17.1894,07.17.1894,05.31.1895,06.05.1895,06.14.1895,06.17.1895,06.28.1895,07.10.1895,07.10.1895,07.20.1895,07.22.1895
Bill,,,,,,,yay=1;nay=2;paired=3;yes+no=4;yes+paired=5;no+paired=6;yes+no+paired=7;notvote=ENPTY;Abstention=8;Problem=9999,Motion to adjourn the Senate,Motion to adopt the Report from the Select Committee on Divorce,"Motion that the Bill (An Act to incorporate the Vancouver Dock and Ship Building Company) be not now read a third time, but amended",Motion that the Bill (An Act to incorporate  the Montreal and Atlantic Railway Company) be not now read a third time but amended,Motion to adopt the Second Report from the Select Committee on Railways Telegraphs and Harbours,"Motion that the Bill (An Act respecting a certain agreement therein mentioned with the Winnipeg and Hudson Bay Company) be not now read a second time, but that it be done six months hence","Motion that the Bill (An Act to incorporate the Iverness and Victoria Railway and Mining Company) be not now read a second time, but six months hence","Motion that the Bill (An Act further to amend The Fisheries Act) be not now read a third time, but be amended",Motion that the Bill (An Act to amend the Acts respecting the North-West Territories) be amended,"Motion that the Seventh Report of the Select Committee on Railways, Telegraphs and Harbours be adopted",Motion that the Twelfth Report of the Select Committee on Divorce be referred back to the Committee for further consideration,Motion that the Bill (An Act respecting aid by United States Wreckers in Canadian Waters) be now read a third time,"Motion the the Bill (An Act to incorporate the Winnipeg and Atlantic Railway Company) be not now read a third time, but be amended","Motion that the Bill (An Act respecting the Chignecto Marine Transport Railway Company, Limited) be not now read a third time, but amended","Motion that the Report of the Select Committee on Railway, Telegraphs and Harbours be referred back to the Committee","Motion that the Bill (An Act to incorporate the Burrard Inlet Tunnel and Bridge Company) be not now read a third time, but amended",Motion that the Bill (An Act to readjust the Representation in the House of Commons) be amended,Motion that the Bill (An Act respecting the Speaker of the Senate) be read a second time,"Motion that the Bill (An Act respecting the Columbia and Kootenay Railway and Navigation Company) be not now read a third time, but amended",Motion that the Second Report of the Select Committee on Contingent Accounts of the Senate be amended,Motion that the Bill (An Act respecting the Drummond County Railway Company) be committed to Committee of the Whole House,Motion that the Fourteenth Report of the Standing Committee on Divorce be amended,Motion that the Fourteenth Report of the Standing Committee on Divorce be adopted,Motion that the Fourteenth Report of the Standing Committee on Divorce be amended,"Motion that the Bill (An Act to secure the better observance of the Lord's Day, commonly called Sunday) be read a second time six months hence",Motion that the Bill (An Act respecting Insolvency) be amended,Motion that the Bill (An Act respecting Insolvency) be read a third time in six months hence,Motion that the Fourteenth Report of the Standing Committee on Divorce be amended,Motion that the Fourteenth Report of the Standing Committee on Divorce be concurred six months hence,Motion that the Bill (An Act respectingthe Montreal Island Belt Line Railway Company) be amended,Motion that the Third Report of the Standing Committee on the Internal Economy and Contingent Accounts of the Senate be amended,Motion that the Bill (An Act respecting a certain Treaty between Her Britannic Majesty and the President of the French Republic) be returned to the Imperial Government,Motion that the Bill (An Act respecting a certain Treaty between Her Britannic Majesty and the President of the French Republic) be read a second time six months hence,Motion that the Eight Report of the Standing Committee on Divorce be adopted,Motion that the Ninth Report of the Standing Committee on Divorce be referred back,"Motion respecting the Excise on Spirite, Beer and Tobacco",Motion that the Bill (An Act to incorporate the Langenburg and Southern Railway) be read a third time,"Motion that the Bill (An Act respecting the St. Catharines and Niagara Central Railway Company, and to change the name of the Company to Hamilton and Pacific Railway Company) be amended",Motion that the Bill (An Act to amend the Law respecting Lobster Fishery) be amended,Motion that the Bill (An Act respecting Commercial Treaties affecting Canada) be taken care of six months hence,Motion that the Bill (An Act respecting the Winnipeg Great Northern Railway Company) be read a first time three months hence,"Motion that the Bill (An Act respecting the Winnipeg Great Northern Railway Company) be not now read a third time, but be amended"
"Haythorne, Robert Poore",Liberal Party of Canada,Prince Edward Island,"Macdonald, John Alexander",1873.10.18 - 1891.05.07 ,1873.10.18 , 1891.05.07 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Leonard, Elijah",Liberal Party of Canada,Ontario,Royal Proclamation,1867.10.23 - 1891.05.14 ,1867.10.23 , 1891.05.14 ,(Death),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Alexander, George",Conservative (1867-1942),Ontario,"Macdonald, John Alexander",1873.05.30 - 1891.05.29 ,1873.05.30 , 1891.05.29 ,(Resignation),99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Odell, William Hunter",Conservative (1867-1942),New Brunswick,Royal Proclamation,1867.10.23 - 1891.07.25 ,1867.10.23 , 1891.07.25 ,(Death),9,1,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Lacoste, Alexandre",Conservative (1867-1942),Quebec,"Macdonald, John Alexander",1884.01.11 - 1891.09.13 ,1884.01.11 , 1891.09.13 ,(Resignation),9,9,9,9,9,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Baillargeon, Pierre",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1874.03.27 - 1891.12.15 ,1874.03.27 , 1891.12.15 ,(Death),1,2,9,9,9,9,9,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Pí¢quet, Anselme HomíÂre",Liberal Party of Canada,Quebec,"Mackenzie, Alexander",1875.02.09 - 1891.12.22 ,1875.02.09 , 1891.12.22 ,(Death),1,9,1,2,9,9,2,9,9,9,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
"Carling, John",Liberal-Conservative,Ontario,"Macdonald, John Alexander",1891.04.27 - 1892.02.17 ,1891.04.27 , 1892.02.17 ,(Resignation),2,1,2,2,2,2,9,2,2,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
